gene,sod
AL691432.2,0.0849
DCBLD1,0.0843
NAV3,0.0841
FAR2,0.0841
OSBPL6,0.084
AFAP1L2,0.0837
TMEM132A,0.0836
NMRK1,0.0835
AL035446.1,0.0835
FOXF2,0.0833
TDRKH-AS1,0.0831
CATSPER1,0.0828
KLF4,0.0826
EVI2A,0.0823
TCF4,0.0822
ATP1A4,0.0819
EVI2B,0.0818
NID2,0.0816
FEZF1,0.0816
KLF7,0.0809
ITGAX,0.0808
CCL7,0.0807
AGFG2,0.0799
AKNAD1,0.0798
GATA6,0.0796
AC092040.1,0.0796
ARNTL2,0.0796
EMILIN1,0.0796
FGF14,0.0793
PCDH1,0.0792
CEP128,0.0786
AC021218.1,0.0782
NR1H3,0.078
YPEL2,0.078
LSP1,0.0779
DPF3,0.0771
AARD,0.0768
AC010331.1,0.0767
STAMBPL1,0.0767
LURAP1L-AS1,0.0765
ABCG2,0.0764
SERTAD4,0.0764
TRAC,0.076
CES1,0.0757
OGFRL1,0.0756
FLRT2,0.0745
TNFAIP3,0.0743
DPH6-DT,0.0736
SLC48A1,0.0736
MAST1,0.0728
SERPINB2,0.0728
SPEG,0.0727
FAM131C,0.0726
CSF1R,0.0726
RHOB,0.072
AL157937.1,0.0714
HTR7,0.0712
JPH1,0.071
CDH19,0.0708
ANKS1B,0.0707
CCNG2,0.0706
ZNF367,0.0702
ABCB5,0.0701
PPARGC1A,0.07
LINC02269,0.0694
CMPK2,0.0693
IFI27,0.0691
STC2,0.0685
RIMKLA,0.0683
GPR162,0.0681
CEMIP2,0.0681
SRRM3,0.0669
HIST1H4H,0.0664
MUC12,0.0663
TMEM140,0.0662
AC004241.1,0.0661
SHROOM2,0.0658
BX284668.6,0.0655
AC009948.1,0.0654
TAPT1,0.0651
HIST1H2BJ,0.0651
TTLL7,0.0649
CENPI,0.0644
RAET1G,0.0637
CNIH2,0.0636
COL14A1,0.0631
PANX2,0.0629
BMPR1B,0.0626
APH1B,0.0624
ASPHD2,0.0622
PHACTR3,0.0622
AL139246.5,0.0618
PCAT6,0.0618
SSBP2,0.0617
KCNJ2-AS1,0.0616
CTXND1,0.0616
BRF2,0.0616
ZNF114,0.0614
PLLP,0.061
THBS3,0.0609
FAM69C,0.0609
SLC9A7,0.0605
VPS9D1,0.0603
GALNT14,0.0596
NUDT7,0.0593
HLA-DMA,0.0592
ZBTB46,0.0592
BICDL1,0.0591
ROBO3,0.0586
ST8SIA4,0.0586
CCL26,0.0586
SESTD1,0.0585
AC005332.5,0.0584
IQGAP2,0.0584
LAT2,0.0578
TK2,0.0572
EGR3,0.0569
AL138885.3,0.0567
AC008764.6,0.0567
MTSS1L,0.0565
JAG1,0.0565
ARL4D,0.0564
PARD6A,0.0564
CD83,0.0562
ZMIZ1-AS1,0.0557
KIAA0040,0.0554
CEP112,0.0553
TOGARAM1,0.0552
SEPT3,0.0551
GLI1,0.0548
SYNE3,0.0546
RIMS2,0.0544
HTATIP2,0.054
FCRLA,0.0538
CLCF1,0.0537
GDNF-AS1,0.0537
PDE7B,0.0536
ITGA7,0.0533
DUSP5,0.053
MAL,0.0528
CREB5,0.0525
HIST1H2AH,0.0525
SPRED3,0.0522
F3,0.0522
SULF2,0.0511
FAM84B,0.0507
MCTP1,0.0506
SLC19A2,0.0505
AC093627.6,0.0504
PCDH18,0.0495
METTL27,0.0495
ABHD8,0.0492
FST,0.0488
FNDC10,0.0488
DOCK5,0.0484
ADAM23,0.0484
CARD6,0.0481
ITGBL1,0.0481
AP000880.1,0.0479
AC003092.1,0.0476
PLPP4,0.0475
AL161935.3,0.0474
DDAH1,0.0474
SLC39A12,0.0473
SLIT3,0.0473
MOB3B,0.0472
HDAC7,0.0469
HPCAL4,0.0469
YOD1,0.0468
AC021188.1,0.0467
SHB,0.0466
TCF7,0.0465
ATP10A,0.0462
TRAIP,0.0456
IL4R,0.0454
EDARADD,0.0453
TOB1,0.0444
MT1E,0.0443
DACT1,0.0442
ZNF264,0.0441
CCNA1,0.044
EBF1,0.0439
TBC1D8B,0.0438
AOX1,0.0435
JPH4,0.0434
AC074327.1,0.0433
H6PD,0.0432
DRD2,0.0432
DMRTA1,0.043
LGI2,0.0424
CA14,0.0423
RMRP,0.0423
LINC01969,0.0422
ASAP3,0.0422
TIAM2,0.0418
SLITRK6,0.0416
KNDC1,0.0413
RALYL,0.0413
SLC8A1,0.0411
PALM2,0.0411
ICOSLG,0.0411
HIST1H3B,0.0411
FAM167A,0.041
TMEM171,0.0409
SQOR,0.0406
ITPKA,0.0403
AC017033.1,0.0402
SPAG4,0.04
AL357060.1,0.0396
PLB1,0.0395
TRERF1,0.0391
LINC01137,0.0391
AL078590.3,0.039
VMO1,0.0377
BCL2,0.0376
MYRFL,0.0376
BTBD8,0.0374
OSGIN1,0.0373
AC017083.1,0.0371
CTRB2,0.0368
AC097534.2,0.0364
RFTN1,0.0363
C18orf54,0.0363
MAMLD1,0.0362
POPDC2,0.0351
CAPN3,0.035
ZSCAN30,0.0349
PFKFB3,0.0347
LINC01152,0.0344
FMN2,0.0343
C1orf112,0.0341
PRRG4,0.0338
CITED4,0.0337
COL9A1,0.0336
ADAMTSL4,0.0334
NBPF19,0.0332
PARD3B,0.033
FAM214B,0.0326
NIM1K,0.0325
KLF12,0.0324
ATG7,0.0321
AC073611.1,0.032
KBTBD8,0.0319
CSAG1,0.0315
RHEBL1,0.0313
CREB3L1,0.031
AC018529.2,0.0309
LIMCH1,0.0309
GPR84,0.0309
RNF150,0.0306
S1PR3,0.0306
NRCAM,0.0305
COL5A3,0.0304
ADORA1,0.0304
CTXN1,0.0304
PPP2R5B,0.0303
AC106712.1,0.0299
ERO1B,0.0298
HIST1H2AG,0.0297
WDR78,0.0297
LINC01358,0.0297
PSD4,0.0291
KDM4C,0.029
AC114760.2,0.0289
PHF11,0.0287
EFNA3,0.0286
MFSD6,0.0285
ENHO,0.0285
GALNT6,0.0284
TSLP,0.0283
PPM1L,0.0282
AC113418.1,0.028
OLFM2,0.028
ZBTB22,0.0277
HIST1H2BC,0.0275
ACYP2,0.0274
DUSP18,0.0273
AL121832.2,0.0272
TIAM1,0.027
LGR4,0.0267
HERC6,0.0267
SDSL,0.0264
GSE1,0.0262
HIST1H2AE,0.0259
PWWP2B,0.0258
SLC26A11,0.0253
LCA5,0.0252
DOCK11,0.025
C1orf54,0.0249
AL136295.5,0.0248
METTL7B,0.0247
SORCS1,0.0245
CHGB,0.0243
LINC01004,0.0241
FAM222A,0.0239
MIR181A2HG,0.0239
AL031777.3,0.0237
EID3,0.0237
NINJ2,0.0236
MAN2B2,0.0234
CARD10,0.0232
SYT7,0.0231
AC018638.7,0.0229
RANBP6,0.0229
SCN5A,0.0228
XYLT1,0.0227
EPHA4,0.0226
ZNF91,0.0226
LINC01351,0.0224
MAGIX,0.0222
AL031963.3,0.0222
EFL1,0.022
IDUA,0.022
TMTC2,0.0218
ABCA1,0.0217
TTC30B,0.0216
DLG5,0.0215
AC023043.1,0.0212
LIN9,0.0212
SYN3,0.0212
CDKN1C,0.021
PRSS27,0.0208
AC003101.2,0.0207
RSPH3,0.0207
LBX2-AS1,0.0204
AP001453.2,0.0202
TLCD2,0.0202
CARD8-AS1,0.0196
LRP5L,0.0191
FCHO2,0.0191
CLGN,0.0189
FOCAD,0.0188
SCRG1,0.0183
PTPRZ1,0.0182
ZSWIM4,0.018
HASPIN,0.018
HR,0.0179
LRIG1,0.0179
AC091932.1,0.0178
KITLG,0.0177
FOXD3,0.0174
ONECUT2,0.0168
S1PR1,0.0166
ANK2,0.0163
FGGY,0.0163
ADAMTS9,0.0154
SNTG1,0.0154
AC010163.1,0.0146
ZC3H12A,0.0145
FLRT3,0.0145
LINC01315,0.014
AC078845.1,0.014
INSR,0.0138
WDR5B,0.0137
AC009495.1,0.0136
CLDND2,0.0133
CAMK2N2,0.013
MZF1-AS1,0.013
GINS3,0.013
SLC22A18AS,0.0128
SRGAP3,0.0127
KREMEN2,0.0122
ZNF836,0.0119
AP002992.1,0.0119
SLC29A4,0.0118
PARP3,0.0118
NPPC,0.0118
AC025569.1,0.0117
ZRSR2,0.0117
AC100793.2,0.0117
GRID2,0.0117
ZC3H12C,0.0117
AL050341.2,0.0116
LAMC2,0.0116
ITPR1,0.0113
NRXN3,0.0111
IGFBP3,0.0107
FEZ1,0.0106
GRAMD2B,0.0105
SLC22A15,0.0104
DTX1,0.0103
SAMD15,0.0101
MIR137HG,0.0098
EPHA2,0.0097
IFIT5,0.0097
AC026979.2,0.0097
MAN1B1-DT,0.0097
AL355472.1,0.0095
TFEB,0.0094
SELENOM,0.0093
SLCO3A1,0.0093
LINC01816,0.0092
CAPN10-DT,0.0088
SALL1,0.0087
STOX2,0.0087
SULT1A3,0.0086
AC069148.1,0.0086
CEP72,0.0083
LOH12CR2,0.008
AC087741.1,0.008
ALDH1A1,0.0078
MATN3,0.0078
ST6GALNAC3,0.0078
OTUD1,0.0074
OLFML2A,0.007
HIST1H4E,0.0067
GABRA5,0.0063
STX1B,0.0059
AL035563.1,0.0057
AL118558.3,0.0056
TOLLIP-AS1,0.0056
STXBP5-AS1,0.0054
CFAP44,0.0052
IRF4,0.005
CCDC163,0.0049
AC132872.3,0.0047
AC023157.3,0.0043
AC105277.1,0.0042
ARID3A,0.004
HIST2H4A,0.0038
ANXA9,0.0037
AC011247.1,0.0037
HLX,0.0036
AC109322.1,0.0033
CACNA2D1,0.0033
CACNA1H,0.0032
ELF4,0.0031
SDC2,0.0031
ATP10D,0.0029
ENOX1,0.0027
AC145124.1,0.0027
AC147651.1,0.0025
SEMA3D,0.0025
SEC24A,0.0025
RIPOR2,0.0024
ENTPD1,0.0023
TPPP,0.0022
CCDC30,0.0021
GPR157,0.002
NEMP1,0.0018
NSG1,0.0018
ZNF778,0.0014
TNFRSF21,0.0013
C3orf70,0.0012
PRKG1,0.0011
CKB,0.0009
CXADR,0.0008
AC009502.1,0.0008
ZIC1,0.0006
ZNF846,0.0006
EPHB3,0.0005
HIST1H2AL,0.0004
EPB41L3,0.0004
AC093677.2,0.0003
HEY2,0.0003
CRTC2,0.0003
AGMO,0.0003
FAM133A,0.0003
TRIB1,0.0002
PLXNA2,0.0001
TBX2-AS1,-0.0001
AL020996.1,-0.0001
EML6,-0.0003
ACTN2,-0.0004
NLGN1,-0.0006
RGS16,-0.0008
PLEKHF2,-0.0008
TBCE,-0.0011
ZNF213,-0.0012
AL139412.1,-0.0012
L3MBTL4-AS1,-0.0013
TLN2,-0.0013
ALDH1L2,-0.0015
ELMO1,-0.0021
PTPRU,-0.0022
PPP1R14A,-0.0024
DENND6B,-0.0026
AC097532.2,-0.003
DRC3,-0.0031
MIR503HG,-0.0032
FAM72B,-0.0033
DLX5,-0.0035
PLEKHH2,-0.0037
BX537318.1,-0.0041
AL139383.1,-0.0043
FCGRT,-0.0045
TRPM8,-0.0046
TEKT5,-0.0047
N4BP2,-0.0048
TTC7A,-0.0049
MCOLN2,-0.005
AC044849.1,-0.0051
PKD2L2,-0.0052
NEK11,-0.0053
SNTN,-0.0054
NBPF14,-0.0054
ANKRD30B,-0.0055
LCP1,-0.0056
LMCD1,-0.0057
LINC00941,-0.0061
RAB3C,-0.0062
FXYD6,-0.0063
ADAMTS9-AS2,-0.0064
AC096667.1,-0.0065
TPSAB1,-0.0065
WFDC1,-0.0066
PTCH1,-0.0067
ABHD4,-0.0067
HAR1A,-0.0068
PRELID3A,-0.0068
JDP2,-0.0069
PAN3-AS1,-0.0069
NPTXR,-0.0069
ARHGAP20,-0.0069
LINC00960,-0.0071
KCNIP2,-0.0071
PLAG1,-0.0072
LRRTM4,-0.0072
FAM225B,-0.0073
RTN4RL1,-0.0073
SLC22A23,-0.0074
AL021453.1,-0.0074
DLG4,-0.0074
THRB,-0.0075
KAZALD1,-0.0076
PDE11A,-0.0077
ARSJ,-0.0078
PLXNA3,-0.008
KIF24,-0.008
BACH2,-0.008
CREG2,-0.008
ZMYM6,-0.008
LINC00702,-0.008
AC063923.2,-0.0081
LRRC4B,-0.0082
ANKRD33B,-0.0083
MIEF2,-0.0084
P4HTM,-0.0085
CARD14,-0.0085
FAM72C,-0.0085
NRF1,-0.0088
P3H2,-0.0088
AC079922.2,-0.0088
PPP1R14C,-0.0089
SDCBP2,-0.0089
PGGHG,-0.0091
AL627171.1,-0.0092
CEP126,-0.0092
LINC01013,-0.0092
CCDC26,-0.0094
PLD1,-0.0094
FBXO48,-0.0095
RASD2,-0.0096
FBXO3,-0.0096
EAF1,-0.0097
CXCL1,-0.0098
CCDC188,-0.0098
DCLRE1B,-0.0098
ASIC1,-0.0098
TAF4B,-0.0098
PCDH17,-0.0099
AC099778.1,-0.0099
AC062029.1,-0.0099
APLP1,-0.01
C6orf47,-0.0101
ANG,-0.0101
XKR8,-0.0103
CCDC113,-0.0103
ARHGAP5-AS1,-0.0104
TRPM2-AS,-0.0105
PASK,-0.0106
CCDC9B,-0.0106
C2orf81,-0.0107
